client_id,worker_id,row_number,day,hour,minute,reward_size
87,122,1850,17,15,45,0.3006465435028076
87,221,2208,17,15,51,0.3059977889060974
87,221,2208,17,15,51,0.3059977889060974
87,203,3869,17,16,13,0.24600626528263092
87,203,5707,17,16,38,0.343340665102005
87,203,7599,17,17,5,0.30909067392349243
87,203,11110,17,17,56,0.17780372500419617
87,221,12395,17,18,14,0.19825726747512817
87,221,12395,17,18,14,0.19825726747512817
87,221,12770,17,18,21,0.11341118812561035
87,221,12770,17,18,21,0.11341118812561035
87,221,13889,17,18,35,0.29393091797828674
87,221,13889,17,18,35,0.29393091797828674
87,203,18881,17,19,47,0.3588619530200958
87,122,20163,17,20,4,0.23395809531211853
87,122,21033,17,20,18,0.3463456332683563
87,221,22618,17,20,40,0.14806798100471497
87,221,22618,17,20,40,0.14806798100471497
87,221,24064,17,21,0,0.3374534547328949
87,221,24064,17,21,0,0.3374534547328949
87,203,27676,17,21,55,0.07282117754220963
87,203,28019,17,22,1,0.33898091316223145
87,221,28541,17,22,11,0.19515402615070343
87,221,28541,17,22,11,0.19515402615070343
87,203,29313,17,22,21,0.1186404675245285
199,221,338,17,22,31,0.30734747648239136
199,221,2135,17,22,52,0.2850547134876251
87,221,32773,17,23,12,0.25284361839294434
87,203,32772,17,23,12,0.20701825618743896
87,221,32773,17,23,12,0.25284361839294434
199,203,4055,17,23,18,0.1351364701986313
87,122,33983,17,23,28,0.3178151845932007
199,203,4951,17,23,30,0.349659264087677
199,221,4953,17,23,30,0.3297451436519623
87,221,34662,17,23,38,0.26245740056037903
87,203,34664,17,23,38,0.30334383249282837
87,221,34662,17,23,38,0.26245740056037903
199,203,5618,17,23,40,0.3004175126552582
199,221,6526,17,23,50,0.1845143586397171
199,203,8766,18,0,23,0.3015468418598175
87,203,37805,18,0,24,0.3145661950111389
87,203,38523,18,0,33,0.20924504101276398
87,221,39157,18,0,43,0.2820849120616913
87,221,39157,18,0,43,0.2820849120616913
87,203,40521,18,1,5,0.2430749088525772
199,203,12437,18,1,15,0.3236764371395111
87,122,43111,18,1,44,0.28439128398895264
87,203,43442,18,1,50,0.35472753643989563
87,221,43614,18,1,53,0.31163808703422546
87,203,43612,18,1,53,0.35763654112815857
87,221,43614,18,1,53,0.31163808703422546
87,203,44475,18,2,6,0.23709635436534882
87,203,44816,18,2,11,0.3464711904525757
87,203,45281,18,2,19,0.297012597322464
199,203,17317,18,2,20,0.2902793884277344
87,203,49357,18,3,17,0.045017510652542114
199,203,22052,18,3,18,0.300762802362442
87,122,50381,18,3,33,0.2624417245388031
87,122,54975,18,4,45,0.21695490181446075
199,203,29222,18,4,51,0.21638357639312744
199,203,29898,18,5,1,0.30798932909965515
199,203,30935,18,5,14,0.21778222918510437
87,122,59449,18,5,51,0.3431456387042999
87,203,60862,18,6,12,0.3159805238246918
87,203,61020,18,6,14,0.05829968303442001
87,221,61193,18,6,17,0.3144972026348114
87,221,61193,18,6,17,0.3144972026348114
87,122,61519,18,6,21,0.1755484789609909
87,122,61849,18,6,27,0.06998226046562195
87,122,63787,18,6,52,0.22456347942352295
199,221,38507,18,6,58,0.3789101839065552
199,203,40870,18,7,27,0.19449974596500397
199,221,41857,18,7,42,0.3453105092048645
87,203,67433,18,7,48,0.3303946256637573
199,203,44094,18,8,8,0.35063281655311584
87,221,69985,18,8,25,0.29646772146224976
87,221,69985,18,8,25,0.29646772146224976
87,122,70478,18,8,33,0.374186635017395
199,221,47748,18,8,58,0.31007659435272217
199,221,49111,18,9,17,0.21231678128242493
87,221,73409,18,9,18,0.25072914361953735
87,221,73409,18,9,18,0.25072914361953735
87,221,74610,18,9,34,0.035398900508880615
87,221,74610,18,9,34,0.035398900508880615
87,221,75126,18,9,43,0.30974292755126953
87,221,75126,18,9,43,0.30974292755126953
199,203,50991,18,9,46,0.27041035890579224
199,221,51322,18,9,51,0.1518697440624237
199,221,51490,18,9,54,0.1266714334487915
199,203,53555,18,10,20,0.3143957555294037
199,203,54208,18,10,31,0.3285691440105438
87,122,79703,18,10,46,0.14628244936466217
199,221,58198,18,11,23,0.25502920150756836
199,203,58359,18,11,26,0.18322737514972687
87,122,84020,18,11,44,0.20937763154506683
87,221,84190,18,11,46,0.32465773820877075
87,221,84190,18,11,46,0.32465773820877075
199,203,62197,18,12,20,-5.0
199,203,65272,18,12,55,0.23087525367736816
87,203,89208,18,12,58,0.14331719279289246
87,221,89764,18,13,8,0.1775439977645874
87,221,89764,18,13,8,0.1775439977645874
87,122,89932,18,13,10,0.2907964885234833
199,221,67391,18,13,23,0.34586700797080994
199,203,69169,18,13,47,0.33560997247695923
199,203,69489,18,13,52,0.18317607045173645
87,203,94264,18,14,15,0.18548499047756195
87,122,95414,18,14,32,0.263176828622818
87,203,95417,18,14,32,0.15763817727565765
87,122,95566,18,14,35,0.2674301564693451
199,203,73159,18,14,39,0.270332396030426
199,203,73664,18,14,42,0.3556499779224396
199,221,77568,18,15,37,0.3629501461982727
199,203,77901,18,15,43,0.03070160374045372
199,203,78880,18,15,54,0.30034610629081726
87,122,102960,18,16,19,0.32446566224098206
87,203,102965,18,16,19,0.3314579129219055
87,203,106128,18,17,6,0.3309188783168793
199,221,84613,18,17,10,0.2075124979019165
87,221,106509,18,17,13,0.3226572573184967
87,221,106509,18,17,13,0.3226572573184967
199,221,85942,18,17,26,0.2468678504228592
199,221,87266,18,17,42,0.2471727579832077
87,122,109987,18,18,2,0.18416659533977509
87,203,110723,18,18,11,0.004999999888241291
87,221,110891,18,18,14,0.19998975098133087
87,221,110891,18,18,14,0.19998975098133087
